PC,Eigenvalue,Variance,CumulativeVariance
PC1,1.3239950986430178,13.239950986430168,13.239950986430168
PC2,1.132767261744336,11.327672617443353,24.56762360387352
PC3,1.098749792490057,10.987497924900563,35.55512152877408
PC4,1.0541395416771888,10.54139541677188,46.096516945545964
PC5,1.0077645852373878,10.07764585237387,56.174162797919834
PC6,0.981964736891773,9.819647368917723,65.99381016683756
PC7,0.9402385440177028,9.402385440177023,75.39619560701458
PC8,0.9075534059647102,9.075534059647095,84.47172966666167
PC9,0.857546419958354,8.575464199583534,93.04719386624521
PC10,0.6952806133754792,6.952806133754787,100
