CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction.Score,Card.Type,Point.Earned
600,Spain,Male,37,8,177657.35,1,1,1,77142.32,Stayed,2,GOLD,224
497,Germany,Male,24,6,111769.14,2,1,0,55859.27,Stayed,4,DIAMOND,711
624,Spain,Male,46,3,0,2,1,1,62825.03,Stayed,2,SILVER,591
499,Germany,Male,36,5,131142.53,2,1,0,174918.46,Stayed,5,PLATINUM,941
633,France,Female,44,7,0,2,1,0,29761.29,Stayed,2,SILVER,627
456,Germany,Male,32,9,133060.63,1,1,1,125167.92,Stayed,2,DIAMOND,655
692,France,Male,40,6,163505.16,1,0,0,90424.09,Stayed,4,DIAMOND,675
681,France,Female,43,8,154100.3,1,0,0,114659.81,Stayed,5,DIAMOND,302
618,France,Male,34,5,134954.53,1,1,1,151954.39,Stayed,2,SILVER,512
729,France,Female,36,8,109106.8,1,0,0,121311.12,Stayed,3,DIAMOND,456
641,France,Male,37,7,0,2,1,0,75248.3,Stayed,2,PLATINUM,516
717,Germany,Female,28,9,82498.14,2,0,0,40437.67,Stayed,5,GOLD,270
681,Germany,Male,31,4,97338.19,2,0,0,48226.76,Stayed,4,SILVER,675
605,France,Female,36,6,0,1,0,1,690.84,Stayed,4,DIAMOND,373
543,France,Male,43,9,0,2,1,1,78858.07,Stayed,5,SILVER,380
643,Spain,Female,35,6,0,2,1,1,41549.64,Stayed,1,PLATINUM,704
682,France,Female,64,10,128306.7,1,0,1,66040.83,Stayed,4,PLATINUM,457
710,Spain,Male,22,8,0,2,0,0,99645.04,Stayed,4,SILVER,289
512,Spain,Female,46,3,0,2,1,1,56408.14,Stayed,4,PLATINUM,669
670,France,Female,31,9,0,1,0,1,76254.83,Stayed,3,DIAMOND,761
701,Spain,Female,30,2,0,2,1,0,115650.63,Stayed,1,DIAMOND,528
793,France,Male,56,8,119496.25,2,1,0,29880.99,Stayed,2,SILVER,458
